scheduler,cc,a_rx_bytes,b_rx_bytes,c_rx_bytes,a_share_pct,b_share_pct,c_share_pct,total_rx_bytes,exit_code
MINRTT,BBR,36813,19735,29813,42.6,22.9,34.5,86361,0
MINRTT,BBR3,125684,19623,91650,53.0,8.3,38.7,236957,0
MINRTT,CUBIC,142409,43954,187359,38.1,11.8,50.1,373722,0
MINRTT,COPA,33654,6997,10852,65.3,13.6,21.1,51503,0
REDUNDANT,BBR,38211,9693,25852,51.8,13.1,35.1,73756,0
REDUNDANT,BBR3,59312,6997,7151,80.7,9.5,9.7,73460,0
REDUNDANT,CUBIC,69295,14665,7039,76.1,16.1,7.7,90999,0
REDUNDANT,COPA,42754,19623,10894,58.4,26.8,14.9,73271,0
ROUNDROBIN,BBR,68501,18436,25936,60.7,16.3,23.0,112873,0
ROUNDROBIN,BBR3,49292,13464,36230,49.8,13.6,36.6,98986,0
ROUNDROBIN,CUBIC,88347,19707,110643,40.4,9.0,50.6,218697,0
ROUNDROBIN,COPA,60694,19707,61726,42.7,13.9,43.4,142127,0
