scheduler,cc,a_rx_bytes,b_rx_bytes,c_rx_bytes,a_share_pct,b_share_pct,c_share_pct,total_rx_bytes,exit_code
MINRTT,BBR,5789913,30490753,44260378,7.2,37.9,55.0,80541044,0
MINRTT,BBR3,6612136,50170799,46370789,6.4,48.6,45.0,103153724,0
MINRTT,CUBIC,12255708,48933306,35901895,12.6,50.4,37.0,97090909,0
MINRTT,COPA,7013383,41707055,46282840,7.4,43.9,48.7,95003278,0
REDUNDANT,BBR,14320402,48489554,45555350,13.2,44.7,42.0,108365306,0
REDUNDANT,BBR3,7084931,28426686,46976651,8.6,34.5,56.9,82488268,0
REDUNDANT,CUBIC,5941355,19107249,50329598,7.9,25.3,66.8,75378202,0
REDUNDANT,COPA,12279853,49316025,47724778,11.2,45.1,43.7,109320656,0
ROUNDROBIN,BBR,6665923,42195428,40777761,7.4,47.1,45.5,89639112,0
ROUNDROBIN,BBR3,6486244,36600754,45328186,7.3,41.4,51.3,88415184,0
ROUNDROBIN,CUBIC,7155756,30023493,51667750,8.1,33.8,58.2,88846999,0
ROUNDROBIN,COPA,6071891,50346883,38120435,6.4,53.3,40.3,94539209,0
