scheduler,cc,packet_threshold,a_rx_bytes,b_rx_bytes,c_rx_bytes,a_share_pct,b_share_pct,c_share_pct,total_rx_bytes,exit_code
MINRTT,BBR,3,6700351,30292019,34226745,9.4,42.5,48.1,71219115,0
MINRTT,CUBIC,3,8195560,54165111,55484991,7.0,46.0,47.1,117845662,0
MINRTT,NEWRENO,3,2474492,2693325,5207148,23.9,26.0,50.2,10374965,0
REDUNDANT,BBR,3,7378586,38516709,45510879,8.1,42.1,49.8,91406174,0
REDUNDANT,CUBIC,3,8317196,54341670,55509948,7.0,46.0,47.0,118168814,0
REDUNDANT,NEWRENO,3,1269125,2595146,4846493,14.6,29.8,55.6,8710764,0
ROUNDROBIN,BBR,3,7038582,49821124,45648780,6.9,48.6,44.5,102508486,0
ROUNDROBIN,CUBIC,3,6922408,54177693,55482564,5.9,46.5,47.6,116582665,0
ROUNDROBIN,NEWRENO,3,1251317,2805479,4977362,13.9,31.1,55.1,9034158,0
MINRTT,BBR,5,7524225,33090586,39015868,9.4,41.6,49.0,79630679,0
MINRTT,CUBIC,5,17305034,54412582,55728768,13.6,42.7,43.7,127446384,0
MINRTT,NEWRENO,5,1270466,2852869,5683870,13.0,29.1,58.0,9807205,0
REDUNDANT,BBR,5,7836721,28174408,47300664,9.4,33.8,56.8,83311793,0
REDUNDANT,CUBIC,5,7930517,54342238,55495080,6.7,46.1,47.1,117767835,0
REDUNDANT,NEWRENO,5,1298642,2678541,5285742,14.0,28.9,57.1,9262925,0
ROUNDROBIN,BBR,5,5098556,49233272,52667288,4.8,46.0,49.2,106999116,0
ROUNDROBIN,CUBIC,5,7520081,54468982,55490307,6.4,46.4,47.2,117479370,0
ROUNDROBIN,NEWRENO,5,2759753,2668265,5169676,26.0,25.2,48.8,10597694,0
MINRTT,BBR,10,6891481,33209802,50174578,7.6,36.8,55.6,90275861,0
MINRTT,CUBIC,10,8636141,54429922,55561746,7.3,45.9,46.8,118627809,0
MINRTT,NEWRENO,10,1223855,2575696,5185155,13.6,28.7,57.7,8984706,0
REDUNDANT,BBR,10,6080811,38723654,46705327,6.6,42.3,51.0,91509792,0
REDUNDANT,CUBIC,10,8814549,54507898,55769667,7.4,45.8,46.8,119092114,0
REDUNDANT,NEWRENO,10,2542647,2610360,5286010,24.4,25.0,50.6,10439017,0
ROUNDROBIN,BBR,10,13139563,45805251,44496974,12.7,44.3,43.0,103441788,0
ROUNDROBIN,CUBIC,10,9922717,54458504,55699334,8.3,45.4,46.4,120080555,0
ROUNDROBIN,NEWRENO,10,1361363,2557162,5004465,15.3,28.7,56.1,8922990,0
MINRTT,BBR,15,7611640,39259546,48462348,8.0,41.2,50.8,95333534,0
MINRTT,CUBIC,15,10452213,54286868,55578899,8.7,45.1,46.2,120317980,0
MINRTT,NEWRENO,15,1341436,2499213,5883429,13.8,25.7,60.5,9724078,0
REDUNDANT,BBR,15,14346300,41676594,46150982,14.0,40.8,45.2,102173876,0
REDUNDANT,CUBIC,15,10275383,54383602,55801014,8.5,45.1,46.3,120459999,0
REDUNDANT,NEWRENO,15,2624762,2629542,5255197,25.0,25.0,50.0,10509501,0
ROUNDROBIN,BBR,15,6526873,42808772,45546888,6.9,45.1,48.0,94882533,0
ROUNDROBIN,CUBIC,15,10502980,54415380,55701719,8.7,45.1,46.2,120620079,0
ROUNDROBIN,NEWRENO,15,2676249,2889365,5357751,24.5,26.5,49.0,10923365,0
MINRTT,BBR,20,5907199,51311151,49250178,5.5,48.2,46.3,106468528,0
MINRTT,CUBIC,20,7797940,54369355,55659495,6.6,46.1,47.2,117826790,0
MINRTT,NEWRENO,20,1237638,2963991,5742265,12.4,29.8,57.7,9943894,0
REDUNDANT,BBR,20,11415381,43913308,48799684,11.0,42.2,46.9,104128373,0
REDUNDANT,CUBIC,20,9922485,54463854,55604097,8.3,45.4,46.3,119990436,0
REDUNDANT,NEWRENO,20,1279239,2836231,5498970,13.3,29.5,57.2,9614440,0
ROUNDROBIN,BBR,20,6975019,47233139,47567313,6.9,46.4,46.7,101775471,0
ROUNDROBIN,CUBIC,20,9831136,54441865,55718929,8.2,45.4,46.4,119991930,0
ROUNDROBIN,NEWRENO,20,1243262,2566607,5139303,13.9,28.7,57.4,8949172,0
