scheduler,cc,packet_threshold,sent,declared_lost,declared_pct,spurious,spurious_pct,genuine,genuine_pct,goodput_mbps
MINRTT,BBR,25,84414,8808,10.43,8624,97.91,184,0.218,46.69
MINRTT,BBR,30,77149,6036,7.82,5778,95.73,258,0.334,43.88
MINRTT,BBR,40,67072,6788,10.12,6735,99.22,53,0.079,37.41
REDUNDANT,BBR,25,63844,7642,11.97,7594,99.37,48,0.075,35.32
REDUNDANT,BBR,30,84501,7870,9.31,7655,97.27,215,0.254,47.52
REDUNDANT,BBR,40,74063,8572,11.57,8490,99.04,82,0.111,40.77
ROUNDROBIN,BBR,25,89865,9310,10.36,8999,96.66,311,0.346,49.69
ROUNDROBIN,BBR,30,87005,6853,7.88,6596,96.25,257,0.295,49.35
ROUNDROBIN,BBR,40,63687,8168,12.83,8097,99.13,71,0.111,34.39
MINRTT,CUBIC,25,99819,11063,11.08,8708,78.71,2355,2.359,54.03
MINRTT,CUBIC,30,91454,6907,7.55,5742,83.13,1165,1.274,56.90
MINRTT,CUBIC,40,98040,7644,7.80,7442,97.36,202,0.206,55.58
REDUNDANT,CUBIC,25,99823,11254,11.27,10215,90.77,1039,1.041,54.03
REDUNDANT,CUBIC,30,107274,10928,10.19,9464,86.60,1464,1.365,58.86
REDUNDANT,CUBIC,40,106686,8839,8.29,8091,91.54,748,0.701,59.64
ROUNDROBIN,CUBIC,25,109166,16244,14.88,13543,83.37,2701,2.474,56.70
ROUNDROBIN,CUBIC,30,99233,6616,6.67,5967,90.19,649,0.654,56.75
ROUNDROBIN,CUBIC,40,105052,7561,7.20,6997,92.54,564,0.537,59.36
MINRTT,NEWRENO,25,6668,276,4.14,271,98.19,5,0.075,4.69
MINRTT,NEWRENO,30,6364,251,3.94,246,98.01,5,0.079,4.59
MINRTT,NEWRENO,40,7261,337,4.64,322,95.55,15,0.207,4.65
REDUNDANT,NEWRENO,25,6641,283,4.26,281,99.29,2,0.030,4.77
REDUNDANT,NEWRENO,30,7454,275,3.69,273,99.27,2,0.027,4.83
REDUNDANT,NEWRENO,40,6302,261,4.14,259,99.23,2,0.032,4.51
ROUNDROBIN,NEWRENO,25,6112,255,4.17,252,98.82,3,0.049,4.40
ROUNDROBIN,NEWRENO,30,6147,262,4.26,256,97.71,6,0.098,4.41
ROUNDROBIN,NEWRENO,40,7196,352,4.89,342,97.16,10,0.139,5.13
