scheduler,cc,packet_threshold,repeat,sent,declared_lost,declared_pct,spurious,spurious_pct,genuine,genuine_pct,goodput_mbps
MINRTT,BBR,3,1,73199,18597,25.41,17612,94.70,985,1.346,32.12
MINRTT,BBR,3,2,60718,17787,29.29,17144,96.39,643,1.059,28.45
MINRTT,BBR,3,3,56970,15374,26.99,14827,96.44,547,0.960,25.31
MINRTT,BBR,3,4,64427,22826,35.43,22449,98.35,377,0.585,23.92
MINRTT,BBR,3,5,83136,21053,25.32,19399,92.14,1654,1.990,33.36
MINRTT,BBR,5,1,107496,45391,42.23,44869,98.85,522,0.486,37.32
MINRTT,BBR,5,2,80890,18750,23.18,17468,93.16,1282,1.585,32.85
MINRTT,BBR,5,3,76837,18302,23.82,17568,95.99,734,0.955,31.86
MINRTT,BBR,5,4,94585,28403,30.03,28201,99.29,202,0.214,41.29
MINRTT,BBR,5,5,64266,13578,21.13,13039,96.03,539,0.839,28.79
MINRTT,BBR,10,1,84810,15342,18.09,14407,93.91,935,1.102,34.87
MINRTT,BBR,10,2,67950,10081,14.84,9818,97.39,263,0.387,29.03
MINRTT,BBR,10,3,73330,12630,17.22,11790,93.35,840,1.146,32.11
MINRTT,BBR,10,4,72688,12991,17.87,12322,94.85,669,0.920,31.94
MINRTT,BBR,10,5,77172,13432,17.41,12895,96.00,537,0.696,33.69
MINRTT,BBR,15,1,79263,26377,33.28,25361,96.15,1016,1.282,31.61
MINRTT,BBR,15,2,82859,13523,16.32,13157,97.29,366,0.442,37.62
MINRTT,BBR,15,3,74505,15030,20.17,14698,97.79,332,0.446,34.06
MINRTT,BBR,15,4,81590,14271,17.49,13407,93.95,864,1.059,34.45
MINRTT,BBR,15,5,91713,16716,18.23,15488,92.65,1228,1.339,37.48
MINRTT,BBR,20,1,72197,15758,21.83,14704,93.31,1054,1.460,31.28
MINRTT,BBR,20,2,102481,26227,25.59,25682,97.92,545,0.532,39.63
MINRTT,BBR,20,3,93957,24848,26.45,24505,98.62,343,0.365,35.22
MINRTT,BBR,20,4,61872,8339,13.48,7971,95.59,368,0.595,26.59
MINRTT,BBR,20,5,86883,25151,28.95,23558,93.67,1593,1.834,33.49
MINRTT,BBR,25,1,101581,26666,26.25,25418,95.32,1248,1.229,38.42
MINRTT,BBR,25,2,63824,9705,15.21,9148,94.26,557,0.873,29.63
MINRTT,BBR,25,3,77645,11514,14.83,11063,96.08,451,0.581,34.34
MINRTT,BBR,25,4,109656,24960,22.76,23119,92.62,1841,1.679,39.65
MINRTT,BBR,25,5,61079,9632,15.77,8616,89.45,1016,1.663,28.31
MINRTT,BBR,30,1,85674,17219,20.10,16419,95.35,800,0.934,35.41
MINRTT,BBR,30,2,56797,9687,17.06,9259,95.58,428,0.754,24.27
MINRTT,BBR,30,3,104276,27168,26.05,25855,95.17,1313,1.259,39.52
MINRTT,BBR,30,4,67013,10775,16.08,10334,95.91,441,0.658,31.92
MINRTT,BBR,30,5,82429,17761,21.55,16680,93.91,1081,1.311,33.93
MINRTT,BBR,40,1,109822,17388,15.83,16563,95.26,825,0.751,42.38
MINRTT,BBR,40,2,77649,12441,16.02,11886,95.54,555,0.715,33.08
MINRTT,BBR,40,3,68434,10126,14.80,9651,95.31,475,0.694,31.57
MINRTT,BBR,40,4,70478,10975,15.57,10531,95.95,444,0.630,31.75
MINRTT,BBR,40,5,88873,11810,13.29,11426,96.75,384,0.432,37.16
MINRTT,CUBIC,3,1,77502,8083,10.43,7197,89.04,886,1.143,32.09
MINRTT,CUBIC,3,2,60385,14000,23.18,13355,95.39,645,1.068,24.16
MINRTT,CUBIC,3,3,105118,29720,28.27,28756,96.76,964,0.917,40.52
MINRTT,CUBIC,3,4,93805,16953,18.07,15958,94.13,995,1.061,38.11
MINRTT,CUBIC,3,5,105791,30375,28.71,29362,96.67,1013,0.958,40.68
MINRTT,CUBIC,5,1,105149,27145,25.82,26854,98.93,291,0.277,41.84
MINRTT,CUBIC,5,2,110550,29893,27.04,28876,96.60,1017,0.920,39.63
MINRTT,CUBIC,5,3,92336,20651,22.37,19834,96.04,817,0.885,33.55
MINRTT,CUBIC,5,4,108790,26300,24.18,25525,97.05,775,0.712,40.75
