scheduler,cc,packet_threshold,repeat,sent,declared_lost,declared_pct,spurious,spurious_pct,genuine,genuine_pct,goodput_mbps
MINRTT,BBR,3,1,78822,36574,46.40,36412,99.56,162,0.206,26.07
MINRTT,BBR,3,2,86042,44920,52.21,44658,99.42,262,0.305,25.38
MINRTT,BBR,10,1,73668,14629,19.86,14504,99.15,125,0.170,36.54
MINRTT,BBR,10,2,89668,25463,28.40,25244,99.14,219,0.244,39.66
MINRTT,BBR,20,1,73435,10258,13.97,10149,98.94,109,0.148,39.12
MINRTT,BBR,20,2,81234,11403,14.04,11173,97.98,230,0.283,43.26
MINRTT,BBR,40,1,85297,7857,9.21,7684,97.80,173,0.203,47.96
MINRTT,BBR,40,2,74252,7625,10.27,7515,98.56,110,0.148,41.39
MINRTT,CUBIC,3,1,92166,34815,37.77,34478,99.03,337,0.366,35.51
MINRTT,CUBIC,3,2,96934,37503,38.69,35967,95.90,1536,1.585,35.96
MINRTT,CUBIC,10,1,104545,24962,23.88,23351,93.55,1611,1.541,49.23
MINRTT,CUBIC,10,2,94153,21480,22.81,20892,97.26,588,0.625,46.23
MINRTT,CUBIC,20,1,100320,15186,15.14,12732,83.84,2454,2.446,52.26
MINRTT,CUBIC,20,2,92105,13908,15.10,13094,94.15,814,0.884,52.83
MINRTT,CUBIC,40,1,104562,9264,8.86,8378,90.44,886,0.847,59.09
MINRTT,CUBIC,40,2,99781,7120,7.14,4497,63.16,2623,2.629,57.17
MINRTT,NEWRENO,3,1,5998,267,4.45,259,97.00,8,0.133,4.29
MINRTT,NEWRENO,3,2,6835,362,5.30,351,96.96,11,0.161,4.86
MINRTT,NEWRENO,10,1,6003,284,4.73,281,98.94,3,0.050,4.29
MINRTT,NEWRENO,10,2,6317,317,5.02,315,99.37,2,0.032,4.49
MINRTT,NEWRENO,20,1,6686,293,4.38,288,98.29,5,0.075,4.80
MINRTT,NEWRENO,20,2,7251,375,5.17,365,97.33,10,0.138,5.15
MINRTT,NEWRENO,40,1,6116,270,4.41,265,98.15,5,0.082,4.38
MINRTT,NEWRENO,40,2,6715,314,4.68,312,99.36,2,0.030,4.81
