scheduler,cc,packet_threshold,sent,declared_lost,declared_pct,spurious,spurious_pct,genuine,genuine_pct,goodput_mbps
MINRTT,BBR,3,57853,19216,33.22,19031,99.04,185,0.320,23.93
MINRTT,BBR,5,64617,19309,29.88,19149,99.17,160,0.248,28.05
MINRTT,BBR,10,73250,14115,19.27,13977,99.02,138,0.188,36.61
MINRTT,BBR,15,77444,12538,16.19,12343,98.44,195,0.252,40.21
MINRTT,BBR,20,86216,11932,13.84,11666,97.77,266,0.309,46.05
MINRTT,BBR,25,84414,8808,10.43,8624,97.91,184,0.218,46.69
MINRTT,BBR,30,77149,6036,7.82,5778,95.73,258,0.334,43.88
MINRTT,BBR,40,67072,6788,10.12,6735,99.22,53,0.079,37.41
REDUNDANT,BBR,3,74260,25994,35.01,25826,99.35,168,0.226,29.84
REDUNDANT,BBR,5,67359,20330,30.19,20173,99.23,157,0.233,29.16
REDUNDANT,BBR,10,73463,16565,22.55,16429,99.18,136,0.185,35.72
REDUNDANT,BBR,15,82762,16151,19.52,15965,98.85,186,0.225,41.29
REDUNDANT,BBR,20,83963,11921,14.20,11721,98.32,200,0.238,44.89
REDUNDANT,BBR,25,63844,7642,11.97,7594,99.37,48,0.075,35.32
REDUNDANT,BBR,30,84501,7870,9.31,7655,97.27,215,0.254,47.52
REDUNDANT,BBR,40,74063,8572,11.57,8490,99.04,82,0.111,40.77
ROUNDROBIN,BBR,3,83125,35822,43.10,35618,99.43,204,0.245,29.09
ROUNDROBIN,BBR,5,86606,29593,34.17,29344,99.16,249,0.288,35.35
ROUNDROBIN,BBR,10,82947,20720,24.98,20550,99.18,170,0.205,39.13
ROUNDROBIN,BBR,15,77244,12283,15.90,12180,99.16,103,0.133,40.15
ROUNDROBIN,BBR,20,82467,11415,13.84,11268,98.71,147,0.178,44.05
ROUNDROBIN,BBR,25,89865,9310,10.36,8999,96.66,311,0.346,49.69
ROUNDROBIN,BBR,30,87005,6853,7.88,6596,96.25,257,0.295,49.35
ROUNDROBIN,BBR,40,63687,8168,12.83,8097,99.13,71,0.111,34.39
MINRTT,CUBIC,3,97921,37396,38.19,35880,95.95,1516,1.548,36.71
MINRTT,CUBIC,5,104168,34688,33.30,34078,98.24,610,0.586,42.14
MINRTT,CUBIC,10,98201,21413,21.81,20146,94.08,1267,1.290,46.91
MINRTT,CUBIC,15,98738,16712,16.93,15663,93.72,1049,1.063,50.47
MINRTT,CUBIC,20,97083,12308,12.68,11373,92.40,935,0.963,52.09
MINRTT,CUBIC,25,99819,11063,11.08,8708,78.71,2355,2.359,54.03
MINRTT,CUBIC,30,91454,6907,7.55,5742,83.13,1165,1.274,56.90
MINRTT,CUBIC,40,98040,7644,7.80,7442,97.36,202,0.206,55.58
REDUNDANT,CUBIC,3,97767,37580,38.44,36522,97.19,1058,1.082,36.62
REDUNDANT,CUBIC,5,96608,30178,31.24,29450,97.59,728,0.754,40.69
REDUNDANT,CUBIC,10,95376,20902,21.92,20278,97.01,624,0.654,47.25
REDUNDANT,CUBIC,15,90593,15835,17.48,15550,98.20,285,0.315,50.81
REDUNDANT,CUBIC,20,100248,14157,14.12,12461,88.02,1696,1.692,52.40
REDUNDANT,CUBIC,25,99823,11254,11.27,10215,90.77,1039,1.041,54.03
REDUNDANT,CUBIC,30,107274,10928,10.19,9464,86.60,1464,1.365,58.86
REDUNDANT,CUBIC,40,106686,8839,8.29,8091,91.54,748,0.701,59.64
ROUNDROBIN,CUBIC,3,95385,35589,37.31,35085,98.58,504,0.528,36.66
ROUNDROBIN,CUBIC,5,97386,29884,30.69,28655,95.89,1229,1.262,41.08
ROUNDROBIN,CUBIC,10,97281,21079,21.67,20426,96.90,653,0.671,47.53
ROUNDROBIN,CUBIC,15,98996,16595,16.76,15673,94.44,922,0.931,50.63
ROUNDROBIN,CUBIC,20,97937,12506,12.77,12177,97.37,329,0.336,52.45
ROUNDROBIN,CUBIC,25,109166,16244,14.88,13543,83.37,2701,2.474,56.70
ROUNDROBIN,CUBIC,30,99233,6616,6.67,5967,90.19,649,0.654,56.75
ROUNDROBIN,CUBIC,40,105052,7561,7.20,6997,92.54,564,0.537,59.36
MINRTT,NEWRENO,3,7003,332,4.74,328,98.80,4,0.057,5.00
MINRTT,NEWRENO,5,6609,278,4.21,277,99.64,1,0.015,4.75
MINRTT,NEWRENO,10,6362,272,4.28,253,93.01,19,0.299,4.33
MINRTT,NEWRENO,15,6555,309,4.71,306,99.03,3,0.046,4.68
MINRTT,NEWRENO,20,7498,304,4.05,297,97.70,7,0.093,4.82
MINRTT,NEWRENO,25,6668,276,4.14,271,98.19,5,0.075,4.69
MINRTT,NEWRENO,30,6364,251,3.94,246,98.01,5,0.079,4.59
MINRTT,NEWRENO,40,7261,337,4.64,322,95.55,15,0.207,4.65
REDUNDANT,NEWRENO,3,5878,238,4.05,236,99.16,2,0.034,4.23
REDUNDANT,NEWRENO,5,6257,271,4.33,265,97.79,6,0.096,4.48
REDUNDANT,NEWRENO,10,7196,370,5.14,360,97.30,10,0.139,4.99
REDUNDANT,NEWRENO,15,7086,351,4.95,345,98.29,6,0.085,5.05
REDUNDANT,NEWRENO,20,6812,359,5.27,315,87.74,44,0.646,4.59
REDUNDANT,NEWRENO,25,6641,283,4.26,281,99.29,2,0.030,4.77
REDUNDANT,NEWRENO,30,7454,275,3.69,273,99.27,2,0.027,4.83
REDUNDANT,NEWRENO,40,6302,261,4.14,259,99.23,2,0.032,4.51
ROUNDROBIN,NEWRENO,3,6104,282,4.62,271,96.10,11,0.180,4.37
ROUNDROBIN,NEWRENO,5,7155,362,5.06,349,96.41,13,0.182,5.09
ROUNDROBIN,NEWRENO,10,6023,261,4.33,250,95.79,11,0.183,4.31
ROUNDROBIN,NEWRENO,15,7369,365,4.95,360,98.63,5,0.068,5.26
ROUNDROBIN,NEWRENO,20,6031,278,4.61,275,98.92,3,0.054,4.32
ROUNDROBIN,NEWRENO,25,6112,255,4.17,252,98.82,3,0.049,4.40
ROUNDROBIN,NEWRENO,30,6147,262,4.26,256,97.71,6,0.098,4.41
ROUNDROBIN,NEWRENO,40,7196,352,4.89,342,97.16,10,0.139,5.13
